Word	Counts	Cluster
hold	368	17
rate	368	2
furnish	367	17
security	365	2
willing	365	7
morals	365	8
wholesome	365	7
told	365	10
send	365	17
highly	363	7
constructed	363	10
bear	363	17
singsing	363	16
punishments	362	5
nor_morethan	362	9
easy	362	7
branch	361	0
destitute	361	16
deep	360	8
ill	360	8
write	360	17
homes	360	16
assault	360	6
vol	360	7
experiment	359	0
suggested	359	10
greatest	359	7
statements	359	5
arc	359	4
fire	358	3
impossible	358	7
felony	358	6
mortality	358	9
built	358	10
equally	358	7
conclusion	356	0
inspection	356	11
proof	355	0
original	354	9
establishments	354	5
seemed	353	4
local	353	11
usually	353	7
admission	353	9
commitments	353	9
details	353	5
occupation	352	0
larger	352	7
afterwards	351	9
attend	350	17
clear	350	7
issued	350	10
eastern	349	16
constitution	348	11
credit	348	0
affairs	348	5
reach	347	17
chairman	347	11
doors	347	3
british	347	16
satisfactory	346	7
hospitals	346	16
arrangement	346	0
calculated	346	7
clerk	345	11
frequent	345	7
executive	345	11
powers	344	5
needed	344	7
operations	344	5
hall	344	3
domestic	344	8
ignorance	343	8
informed	343	10
danger	343	8
poverty	343	8
letters	342	11
immediately	342	11
cities	342	16
balance	342	2
throughout	341	16
ready	341	7
papers	341	11
pleasure	340	0
difficulties	339	5
thousands	339	8
wall	339	3
supervision	339	5
investigation	338	0
speak	337	17
diet	337	2
deemed	336	10
severity	336	0
inquiries	336	5
paupers	336	16
source	335	0
foreign	335	16
afforded	335	10
continue	335	17
careful	335	7
iron	335	3
liable	335	6
supported	334	10
trust	333	17
opinions	333	5
opening	333	9
list	333	11
gentleman	332	11
concerning	332	4
understand	332	17
forth	331	8
unfortunate	331	8
profit	330	2
witnesses	329	6
appearance	329	8
strength	328	8
chiefly	327	7
claims	327	5
claim	326	0
usefulness	325	5
rendered	325	10
amongst	325	4
alleviating	325	15
absence	324	8
observed	324	10
extended	324	10
recently	323	16
method	323	0
adapted	323	7
low	323	3
movement	323	0
sold	323	2
hard_labor	322	9
amp	322	2
fixed	321	10
addressed	320	10
remaining	320	9
council	320	11
fall	320	17
penalty	320	6
e	319	15
bound	319	10
connecticut	319	16
maintained	319	10
detention	319	9
george	318	15
served	318	10
unable	317	10
limited	317	7
scotland	317	16
intemperance	316	8
matters	315	5
attendance	315	2
going	314	3
treasurer	314	11
protection	313	8
writing	313	11
l	313	15
philanthropy	313	8
superior	313	7
copy	312	11
pecuniary	312	2
essential	312	7
sure	312	10
